hjd,camera,filter,mag,mag err,flux (mJy),flux err
2458046.68683,be,V,12.606,0.02,34.801,0.64
2457749.53776,be,V,12.565,0.02,36.131,0.665
2457156.45877,bf,V,12.598,0.02,35.243,0.648
2457113.54931,be,V,12.585,0.02,35.465,0.653
2457010.70628,bf,V,12.59,0.02,35.533,0.654
2456922.80275,bf,V,12.602,0.02,35.115,0.646
2456789.47459,bf,V,12.564,0.02,36.353,0.669
2457794.63052,be,V,12.624,0.02,34.208,0.629
2457668.87907,be,V,12.639,0.02,33.759,0.621
2457267.80801,be,V,12.663,0.02,33.003,0.607
2458137.68361,be,V,12.686,0.02,32.316,0.595
2458083.85368,be,V,12.599,0.02,35.011,0.644
2458028.74059,be,V,12.628,0.02,34.089,0.627
2458005.79929,be,V,12.64,0.02,33.714,0.62
